k_number	Elos10	Elos12	Elos01	Elos02	Elos03	Elos07
K13775	18.153547953106035	20.7732040592416	33.12900033910553	11.226389013460185	48.22315523323304	51.52730110966756
K13776	0.0	0.33262063460785846	0.5740446650633605	0.263382892845723	0.22252872122872508	1.1146146111784012
K13777	2.564114399866728	1.8131854371157916	1.6648169338690118	1.1990921223821283	0.9236153220982309	5.360077900716997
K13778	2.820595810354738	2.7653451946060645	0.5291717318140658	2.3111097117871218	6.124536963712684	7.150893280224839
K13779	2.355280265917035	1.8537507449200477	0.9167155828160112	1.2135097680833202	6.572016986150569	10.820019990742383
K13787	14.152277515038127	37.401365446688324	52.582048368102235	42.31055686290361	62.543269096497596	53.68561883862556
K13788	18.915444738860952	9.633215589124053	4.25085118795619	7.4087922435307645	7.51588677537305	14.25385198655891
K13789	16.62812368832235	11.834159266894588	14.871570061528752	23.113900176430796	8.432643335515603	6.968906598630883
K13795	6.9473330185194895	1.8147488227550668	1.9276343262182252	1.0442077134373395	0.43168855551744456	7.285336400395803
K13796	7.456817807880916	7.956381092480548	4.481726799783074	3.8007864656300034	1.4501957096906732	9.171272474527168
K13798	7.452619577800673	2.7608066888525435	1.5242056938770405	14.333773897325223	0.0	0.0
K13799	2.126476726543818	1.5815148466439735	2.3062728480688066	0.6877203587705226	5.069268722733011	1.178547124470529
K13800	0.0	0.0	0.0	0.0	0.0	0.12696056340121367
K13810	1.2730064131181131	29.274724213397228	6.703807343866277	4.575044886839943	9.33802449704153	10.028318484014328
K13811	0.0	0.3839669615471499	0.0	0.3086288179969248	0.0	0.0
K13812	2.8690598973479977	2.227049736381916	0.1947580115423745	3.335838179999892	0.0	0.0
K13815	5.691342026061327	0.7337710517175507	2.256268563794677	1.549109642364057	0.0	7.10158621307596
K13816	8.210075139684093	6.27674518523827	13.700842418057164	2.4818280486526803	8.362258894644901	24.119716639074184
K13819	33.0892286682432	12.909989170227467	9.470516634200314	21.177381017605807	5.65621023826972	9.443883207365202
K13821	30.55850688503983	13.683079232908087	19.392849559449473	16.039318348488074	37.810267309539825	56.568567587225004
K13829	3.127535027978717	3.733516557752898	0.0	5.78600373751641	0.3087672048865209	0.720333832116816
K13831	15.110659665929306	5.264443333279098	2.20172550602294	18.09443504908655	0.0	0.4178955623428376
K13832	19.079023474916376	5.134334906188326	2.698990641605356	11.111568224272235	10.490765824595652	16.490119433335714
K13853	1.666987177824164	1.680391405769899	0.30839401141209094	2.865468859586133	0.6774329232745511	1.1462313263759971
K13874	1.4313183319389742	1.2631962954768894	1.6512172796191429	1.626157540991228	3.4567065178960177	3.8766753384898633
K13875	0.0	0.9912912724683864	1.392990511301169	0.22186275557897814	2.3655934795858946	1.8145091552068278
K13876	0.2815976000684848	0.2919781225745025	0.0	0.0	0.10700696682955636	0.33874515977446545
K13877	4.512093157099257	0.4715689459305795	0.0	0.9261681010230767	1.3781664174679418	2.207990136038868
K13888	0.6066032596904952	0.0	0.0	0.0	0.0	0.0
K13889	0.0	0.0	0.0	0.21476256801227012	0.0	0.0
K13890	0.9221907141743326	0.7559534811143179	2.759802058532295	6.256300634407576	0.338812560289636	0.2405161135131531
K13891	1.1925813234846805	3.543048209975411	10.343453700387629	16.55159406495574	5.718819627708747	3.786207297270809
K13893	11.699413284661789	4.9306811789981175	4.306370146843079	9.309308864569442	34.3281974519778	27.760153303471128
K13894	24.060691886890403	13.083431228194506	11.966792059155496	19.7814256667024	34.77410413833983	36.59289192294128
K13895	22.919953142388252	9.089664728733313	19.532236756486775	22.098954248473333	28.365285012421115	37.083478282892365
K13896	7.002123726993505	1.6327894839419577	4.068820630615797	4.648243609358981	18.878582491063675	7.89402234928893
K13907	0.0	0.0	0.0	0.0	0.2754053285507798	0.2823465483236137
K13919	0.0	0.0	0.1609125757138272	0.7700739510157323	0.0	0.0
K13920	0.8978766968686047	3.6484430118724944	5.0683378120332	3.500456846851588	0.9287979447685539	1.75734629211441
K13921	0.0	0.0	0.2719856777782851	0.5552416418335587	0.0	0.0
K13922	4.382975624861506	0.977634395799376	1.3929497715961723	2.4551118158742846	5.312849753385816	5.6269360107336315
K13924	118.24356300671218	134.98706710476824	96.03718618116687	76.75658976048427	97.88941498955353	123.59806748304129
K13926	1.7231802239609668	0.6798438976912022	0.0	0.0	2.054631649661747	3.7578766666509025
K13927	0.1805063276341931	0.0	0.0	0.5135739751689412	0.0	0.0
K13934	0.0	0.0	0.08175532890488241	0.0	0.07223489864173514	0.0
